Date : 2026-02-04 03:53:36
Directory : d:\Code\freshmart-irs\backend
Total : 207 files,  4114 codes, 5 comments, 605 blanks, all 4724 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        202 |      3,861 |          5 |        576 |      4,442 |
| XML             |          2 |        194 |          0 |         16 |        210 |
| YAML            |          2 |         56 |          0 |         12 |         68 |
| Java Properties |          1 |          3 |          0 |          1 |          4 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        207 |      4,114 |          5 |        605 |      4,724 |
| . (Files)                                                                                                             |          1 |         85 |          0 |         10 |         95 |
| src                                                                                                                   |        101 |      2,416 |          0 |        570 |      2,986 |
| src\main                                                                                                              |        101 |      2,416 |          0 |        570 |      2,986 |
| src\main\java                                                                                                         |        100 |      2,388 |          0 |        564 |      2,952 |
| src\main\java\com                                                                                                     |        100 |      2,388 |          0 |        564 |      2,952 |
| src\main\java\com\freshmart                                                                                           |        100 |      2,388 |          0 |        564 |      2,952 |
| src\main\java\com\freshmart\irs                                                                                       |        100 |      2,388 |          0 |        564 |      2,952 |
| src\main\java\com\freshmart\irs (Files)                                                                               |          1 |         14 |          0 |          3 |         17 |
| src\main\java\com\freshmart\irs\api                                                                                   |         12 |        912 |          0 |         91 |      1,003 |
| src\main\java\com\freshmart\irs\common                                                                                |          6 |        131 |          0 |         42 |        173 |
| src\main\java\com\freshmart\irs\config                                                                                |          3 |         67 |          0 |         12 |         79 |
| src\main\java\com\freshmart\irs\dto                                                                                   |         56 |        652 |          0 |        229 |        881 |
| src\main\java\com\freshmart\irs\dto\alert                                                                             |          4 |         56 |          0 |         15 |         71 |
| src\main\java\com\freshmart\irs\dto\auth                                                                              |          4 |         44 |          0 |         17 |         61 |
| src\main\java\com\freshmart\irs\dto\cart                                                                              |          5 |         39 |          0 |         16 |         55 |
| src\main\java\com\freshmart\irs\dto\common                                                                            |          1 |          6 |          0 |          4 |         10 |
| src\main\java\com\freshmart\irs\dto\customerorder                                                                     |          6 |         73 |          0 |         23 |         96 |
| src\main\java\com\freshmart\irs\dto\inventory                                                                         |          2 |         30 |          0 |         10 |         40 |
| src\main\java\com\freshmart\irs\dto\payment                                                                           |          4 |         45 |          0 |         15 |         60 |
| src\main\java\com\freshmart\irs\dto\product                                                                           |          3 |         43 |          0 |         15 |         58 |
| src\main\java\com\freshmart\irs\dto\replenishment                                                                     |          9 |        100 |          0 |         34 |        134 |
| src\main\java\com\freshmart\irs\dto\role                                                                              |          1 |          9 |          0 |          4 |         13 |
| src\main\java\com\freshmart\irs\dto\sale                                                                              |          6 |         73 |          0 |         24 |         97 |
| src\main\java\com\freshmart\irs\dto\stockin                                                                           |          6 |         74 |          0 |         29 |        103 |
| src\main\java\com\freshmart\irs\dto\user                                                                              |          5 |         60 |          0 |         23 |         83 |
| src\main\java\com\freshmart\irs\entity                                                                                |          4 |        251 |          0 |         96 |        347 |
| src\main\java\com\freshmart\irs\enums                                                                                 |          6 |         47 |          0 |         21 |         68 |
| src\main\java\com\freshmart\irs\mapper                                                                                |          4 |         20 |          0 |         12 |         32 |
| src\main\java\com\freshmart\irs\security                                                                              |          7 |        264 |          0 |         53 |        317 |
| src\main\java\com\freshmart\irs\service                                                                               |          1 |         30 |          0 |          5 |         35 |
| src\main\resources                                                                                                    |          1 |         28 |          0 |          6 |         34 |
| target                                                                                                                |        105 |      1,613 |          5 |         25 |      1,643 |
| target\classes                                                                                                        |        103 |      1,501 |          5 |         18 |      1,524 |
| target\classes (Files)                                                                                                |          1 |         28 |          0 |          6 |         34 |
| target\classes\com                                                                                                    |        102 |      1,473 |          5 |         12 |      1,490 |
| target\classes\com\freshmart                                                                                          |        102 |      1,473 |          5 |         12 |      1,490 |
| target\classes\com\freshmart\irs                                                                                      |        102 |      1,473 |          5 |         12 |      1,490 |
| target\classes\com\freshmart\irs (Files)                                                                              |          1 |          8 |          0 |          0 |          8 |
| target\classes\com\freshmart\irs\api                                                                                  |         13 |        277 |          0 |          8 |        285 |
| target\classes\com\freshmart\irs\common                                                                               |          6 |         87 |          0 |          0 |         87 |
| target\classes\com\freshmart\irs\config                                                                               |          3 |         46 |          0 |          0 |         46 |
| target\classes\com\freshmart\irs\dto                                                                                  |         56 |        639 |          0 |          0 |        639 |
| target\classes\com\freshmart\irs\dto\alert                                                                            |          4 |         69 |          0 |          0 |         69 |
| target\classes\com\freshmart\irs\dto\auth                                                                             |          4 |         45 |          0 |          0 |         45 |
| target\classes\com\freshmart\irs\dto\cart                                                                             |          5 |         49 |          0 |          0 |         49 |
| target\classes\com\freshmart\irs\dto\common                                                                           |          1 |         10 |          0 |          0 |         10 |
| target\classes\com\freshmart\irs\dto\customerorder                                                                    |          6 |         61 |          0 |          0 |         61 |
| target\classes\com\freshmart\irs\dto\inventory                                                                        |          2 |         34 |          0 |          0 |         34 |
| target\classes\com\freshmart\irs\dto\payment                                                                          |          4 |         39 |          0 |          0 |         39 |
| target\classes\com\freshmart\irs\dto\product                                                                          |          3 |         29 |          0 |          0 |         29 |
| target\classes\com\freshmart\irs\dto\replenishment                                                                    |          9 |        105 |          0 |          0 |        105 |
| target\classes\com\freshmart\irs\dto\role                                                                             |          1 |          9 |          0 |          0 |          9 |
| target\classes\com\freshmart\irs\dto\sale                                                                             |          6 |         64 |          0 |          0 |         64 |
| target\classes\com\freshmart\irs\dto\stockin                                                                          |          6 |         75 |          0 |          0 |         75 |
| target\classes\com\freshmart\irs\dto\user                                                                             |          5 |         50 |          0 |          0 |         50 |
| target\classes\com\freshmart\irs\entity                                                                               |          4 |        100 |          0 |          0 |        100 |
| target\classes\com\freshmart\irs\enums                                                                                |          6 |        113 |          0 |          0 |        113 |
| target\classes\com\freshmart\irs\mapper                                                                               |          4 |          8 |          0 |          4 |         12 |
| target\classes\com\freshmart\irs\security                                                                             |          8 |        169 |          5 |          0 |        174 |
| target\classes\com\freshmart\irs\service                                                                              |          1 |         26 |          0 |          0 |         26 |
| target\maven-archiver                                                                                                 |          1 |          3 |          0 |          1 |          4 |
