"filename", "language", "XML", "YAML", "Java", "comment", "blank", "total"
"d:\Code\freshmart-irs\backend\pom.xml", "XML", -15, 0, 0, 0, 0, -15
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\FreshmartIrsBackendApplication.java", "Java", 0, 0, -5, 0, 1, -4
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\api\AuthController.java", "Java", 0, 0, -2, 0, 3, 1
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\api\RolesController.java", "Java", 0, 0, -2, 0, 1, -1
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\api\UsersController.java", "Java", 0, 0, -10, 0, 1, -9
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\auth\AuthConfig.java", "Java", 0, 0, 7, 0, 3, 10
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\auth\AuthContext.java", "Java", 0, 0, 4, 0, 3, 7
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\auth\AuthContextHolder.java", "Java", 0, 0, 22, 0, 7, 29
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\auth\JwtAuthFilter.java", "Java", 0, 0, 103, 3, 19, 125
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\auth\JwtProperties.java", "Java", 0, 0, 19, 0, 8, 27
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\auth\JwtService.java", "Java", 0, 0, 49, 30, 10, 89
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\common\BizException.java", "Java", 0, 0, 0, 14, 0, 14
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\common\GlobalExceptionHandler.java", "Java", 0, 0, -26, 0, -6, -32
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\config\GlobalExceptionHandler.java", "Java", 0, 0, 44, 0, 8, 52
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\config\MybatisPlusConfig.java", "Java", 0, 0, 2, 0, 1, 3
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\config\OpenApiConfig.java", "Java", 0, 0, -1, 0, 0, -1
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\config\TraceIdFilter.java", "Java", 0, 0, -3, 0, 1, -2
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\dto\auth\RegisterRequest.java", "Java", 0, 0, -11, 0, -3, -14
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\entity\AuditEventEntity.java", "Java", 0, 0, 2, 30, 0, 32
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\entity\RoleEntity.java", "Java", 0, 0, 0, 21, 0, 21
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\entity\UserEntity.java", "Java", 0, 0, 0, 27, 1, 28
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\entity\UserRoleEntity.java", "Java", 0, 0, 0, 18, 0, 18
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\mapper\AuditEventMapper.java", "Java", 0, 0, 2, 3, 0, 5
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\mapper\RoleMapper.java", "Java", 0, 0, 2, 3, 0, 5
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\mapper\UserMapper.java", "Java", 0, 0, 2, 3, 0, 5
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\mapper\UserRoleMapper.java", "Java", 0, 0, 2, 3, 0, 5
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\ApiResponseAccessDeniedHandler.java", "Java", 0, 0, -30, 0, -6, -36
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\ApiResponseAuthenticationEntryPoint.java", "Java", 0, 0, -30, 0, -6, -36
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\JwtAuthenticationFilter.java", "Java", 0, 0, -55, 0, -6, -61
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\JwtPrincipal.java", "Java", 0, 0, -21, 0, -7, -28
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\JwtProperties.java", "Java", 0, 0, -26, 0, -9, -35
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\JwtService.java", "Java", 0, 0, -53, 0, -12, -65
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\security\SecurityConfig.java", "Java", 0, 0, -49, 0, -7, -56
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\AuditEventService.java", "Java", 0, 0, -30, 0, -5, -35
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\AuditService.java", "Java", 0, 0, 34, 12, 8, 54
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\AuthService.java", "Java", 0, 0, 127, 31, 16, 174
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\PasswordPolicy.java", "Java", 0, 0, 28, 10, 4, 42
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\RolesService.java", "Java", 0, 0, 33, 13, 7, 53
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\UserRoleService.java", "Java", 0, 0, 90, 21, 14, 125
"d:\Code\freshmart-irs\backend\src\main\java\com\freshmart\irs\service\UsersService.java", "Java", 0, 0, 251, 3, 30, 284
"d:\Code\freshmart-irs\backend\src\main\resources\application.yml", "YAML", 0, -3, 0, 0, 0, -3
"d:\Code\freshmart-irs\backend\src\test\java\com\freshmart\irs\service\AuthServiceTest.java", "Java", 0, 0, 78, 0, 24, 102
"d:\Code\freshmart-irs\backend\src\test\java\com\freshmart\irs\service\UsersServiceTest.java", "Java", 0, 0, 75, 0, 19, 94
"d:\Code\freshmart-irs\backend\src\test\java\com\freshmart\irs\sql\SeedDataPasswordTest.java", "Java", 0, 0, 11, 0, 4, 15
"d:\Code\freshmart-irs\backend\target\classes\application.yml", "YAML", 0, -3, 0, 0, 0, -3
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\api\AuthController$PermissionsResponse.class", "Java", 0, 0, -3, 0, 0, -3
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\api\AuthController$RegisterRequest.class", "Java", 0, 0, 16, 0, 0, 16
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\api\AuthController.class", "Java", 0, 0, 10, 0, 0, 10
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\api\RolesController.class", "Java", 0, 0, -4, 0, 0, -4
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\api\UsersController.class", "Java", 0, 0, 1, 0, 0, 1
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\auth\AuthConfig.class", "Java", 0, 0, 5, 0, 0, 5
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\auth\AuthContext.class", "Java", 0, 0, 10, 0, 0, 10
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\auth\AuthContextHolder.class", "Java", 0, 0, 23, 0, 0, 23
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\auth\JwtAuthFilter.class", "Java", 0, 0, 40, 0, 0, 40
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\auth\JwtProperties.class", "Java", 0, 0, 8, 0, 0, 8
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\auth\JwtService.class", "Java", 0, 0, 35, 0, 0, 35
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\common\GlobalExceptionHandler.class", "Java", 0, 0, -15, 0, 0, -15
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\config\GlobalExceptionHandler$1.class", "Java", 0, 0, 10, 0, 0, 10
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\config\GlobalExceptionHandler.class", "Java", 0, 0, 19, 0, 0, 19
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\config\MybatisPlusConfig.class", "Java", 0, 0, -3, 0, 0, -3
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\dto\auth\RegisterRequest.class", "Java", 0, 0, -16, 0, 0, -16
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\mapper\AuditEventMapper.class", "Java", 0, 0, 2, 0, -1, 1
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\mapper\RoleMapper.class", "Java", 0, 0, 2, 0, -1, 1
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\mapper\UserMapper.class", "Java", 0, 0, 2, 0, -1, 1
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\mapper\UserRoleMapper.class", "Java", 0, 0, 2, 0, -1, 1
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\ApiResponseAccessDeniedHandler.class", "Java", 0, 0, -15, 0, 0, -15
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\ApiResponseAuthenticationEntryPoint.class", "Java", 0, 0, -16, 0, 0, -16
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\JwtAuthenticationFilter.class", "Java", 0, 0, -40, 0, 0, -40
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\JwtPrincipal.class", "Java", 0, 0, -9, 0, 0, -9
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\JwtProperties.class", "Java", 0, 0, -9, 0, 0, -9
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\JwtService$ParsedToken.class", "Java", 0, 0, -9, 0, 0, -9
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\JwtService.class", "Java", 0, 0, -35, 0, 0, -35
"d:\Code\freshmart-irs\backend\target\classes\com\freshmart\irs\security\SecurityConfig.class", "Java", 0, 0, -36, -5, 0, -41
